"Quarter","Bank","TotalAssets","StaffExpenses","NetIncome","DepositShare","LoanShare"
"2006Q3","VTB BANK-GEORGIA",473876164.69,7823027,4866724,6.96,15.45
"2006Q3","TBC BANK",907949543.62,12832576,16802605.36,32.33,24.62
"2006Q3","CAPITAL BANK",25320317,890949,611768,0.81,0.73
"2006Q3","BANK OF GEORGIA",844578684,19681213,13895113,22.75,23.39
"2006Q3","PRIVATBANK",21042663,728741,576044,0.29,0.42
"2006Q3","CAUCASUSDEVELOPMENT BANK - GEORGIA",14113117,59143,-19020,0,0.15
"2006Q3","BANK REPUBLIC",373143160.35,5600561,8120648.94,14.7,7.81
"2006Q3","ZIRAAT BANKASI A.S. TBILISI BRANCH",11708250,345417,470477,0.07,0
"2006Q3","KOR STANDARD BANK",113935743.16,1150205,822146.58,1.44,1.9
"2006Q3","SILK ROAD BANK",50536322.96,668695.45,1074243.42,0.6,1.42
"2006Q3","CARTU BANK",264946600,2797079,8613952,1.43,8.51
"2006Q3","BASISBANK",76238428,1486122,1681528,2.56,1.55
"2006Q3","LIBERTY BANK",111482294,7133857,2865481,0.9,1.69
"2006Q3","PROCREDIT BANK",417019990.43,10928865.57,4110815.69,15.17,12.35
"2006Q4","VTB BANK-GEORGIA",470361948.99,10996199,7261324,8.3,19.27
"2006Q4","PRIVATBANK",76202739,1167963,1379998,0.34,0.69
"2006Q4","BASISBANK",78828803.1,2011416,2428404.47,3.45,2.47
"2006Q4","ZIRAAT BANKASI A.S. TBILISI BRANCH",12789773,472512,29417,0.05,0
"2006Q4","LIBERTY BANK",111728107,10377238,4021139,1.38,2.49
"2006Q4","CAUCASUSDEVELOPMENT BANK - GEORGIA",24291100,88499,29942,0,0.21
"2006Q4","BANK REPUBLIC",350320851.76,8602859,6880670.07,19.32,9.74
"2006Q4","SILK ROAD BANK",63100710.8,986864.7,1335694.01,1.36,2.2
"2006Q4","CARTU BANK",306342845,4180022,12864934,2.47,12.18
"2006Q4","CAPITAL BANK",25289730,1347839,771748,1.01,0.74
"2006Q4","PROCREDIT BANK",433095032.94,15325337.27,7460616.23,18.52,16.17
"2006Q4","KOR STANDARD BANK",99532412.49,2162603,697495.45,2.23,3.08
"2006Q4","TBC BANK",952310392.35,17751942.51,26151843.24,41.58,30.76
"2007Q1","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",11939064,33337,-99981,0,0
"2007Q1","ZIRAAT BANKASI A.S. TBILISI BRANCH",13533088,126506,141099,0.03,0
"2007Q1","PRIVATBANK",26309692.66,374081,-74163,0.24,0.52
"2007Q1","TBC BANK",949294753.4,5488634,4897182.88,27.65,23.24
"2007Q1","BANK REPUBLIC",375742088.48,3209316,295216.58,17.83,7.05
"2007Q1","LIBERTY BANK",157846633,3828055,-690691,1.23,1.82
"2007Q1","BASISBANK",81038912.94,614290,1060370,1.66,1.72
"2007Q1","VTB BANK-GEORGIA",488136907.01,3185091,2346934.79,7.02,13.38
"2007Q1","CAUCASUSDEVELOPMENT BANK - GEORGIA",16405629,37265,717074,0,0.14
"2007Q1","PROCREDIT BANK",432888796.98,4740922.66,3454757.96,14.19,10.42
"2007Q1","CAPITAL BANK",30103136,343261,348407,0.36,0.47
"2007Q1","BANK OF GEORGIA",1547880884.98,10659418,6786488,24.96,27.79
"2007Q1","KOR STANDARD BANK",116624021.56,788632,936763.98,2.77,2.65
"2007Q1","CARTU BANK",317800178,1243942,2738664,1.48,9.13
"2007Q1","SILK ROAD BANK",71491230.4,460661.05,693163.36,0.57,1.69
"2007Q2","TBC BANK",1280110751.17,12289671,9370865,28.82,25.14
"2007Q2","BANK OF GEORGIA",1802746743.66,25538768,21242492,29.81,31.02
"2007Q2","PRIVATBANK",40913574.6,1011596,-608590,0.67,0.69
"2007Q2","SILK ROAD BANK",128576297.65,1109476.72,825373.49,1.91,2.44
"2007Q2","CARTU BANK",353242417,2870136,5478005,1.11,8.41
"2007Q2","ZIRAAT BANKASI A.S. TBILISI BRANCH",18907463,268937,320022,0.02,0.01
"2007Q2","CAPITAL BANK",32459304,732516,623827,0.46,0.43
"2007Q2","VTB BANK-GEORGIA",496312457.07,6714086,4292095,6.34,11.59
"2007Q2","CAUCASUSDEVELOPMENT BANK - GEORGIA",14840314,90998,712804,0,0.13
"2007Q2","PROCREDIT BANK",449763883.75,9755305.48,5172039.38,11.99,9.41
"2007Q2","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",19407105,117173,-242569,0,0.03
"2007Q2","BANK REPUBLIC",475083563.81,6251515,4365809.46,14.16,5.97
"2007Q2","BASISBANK",89089239.06,1319200,2074628.25,1.66,1.57
"2007Q2","KOR STANDARD BANK",148534758.35,1931689,1887423.37,3.06,3.15
"2007Q3","BANK OF GEORGIA",2267467983,42733266,35126371,30.82,31.09
"2007Q3","PRIVATBANK",89842302.2,2038678,-1015495,0.67,1.22
"2007Q3","TBC BANK",1663377411.09,20044461,16925416,26.79,26.4
"2007Q3","SILK ROAD BANK",147838997.35,1839454.87,2261817.48,2.54,2.49
"2007Q3","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",19389924.05,224322,-638996.7,0,0.17
"2007Q3","ZIRAAT BANKASI A.S. TBILISI BRANCH",19559298,413881,650716,0.01,0.01
"2007Q3","KOR STANDARD BANK",174714505.04,3396858.87,2652308.91,4.11,2.4
"2007Q3","VTB BANK-GEORGIA",516288007.07,10002135,2914672,6.4,9.52
"2007Q3","BASISBANK",100335007,2056705,2605874,1.32,1.49
"2007Q3","CAPITAL BANK",34404496,1139596,828740,0.33,0.4
"2007Q3","CAUCASUSDEVELOPMENT BANK - GEORGIA",12897931,154714,56219,0,0.1
"2007Q3","BANK REPUBLIC",441915338.48,9988338.49,3971435.45,12.38,6.05
"2007Q3","CARTU BANK",386681714,4218128,10288059,0.93,7.87
"2007Q3","LIBERTY BANK",232348152.02,11675732,934249,2.27,2.26
"2007Q3","PROCREDIT BANK",498876308.39,15017266.06,7276916.16,11.43,8.51
"2007Q4","BANK OF GEORGIA",2534082264,55855715,45735475.21,32.39,33.65
